Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_067.jpg;0;0;0;0;99.66999;85.58897;0.0002316979;40.17151;2.224928E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_133.jpg;0;0;0;0;99.66999;85.58897;0.0002310803;40.17151;2.484541E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_200.jpg;0;0;0;0;99.66999;85.58897;0.0002305908;40.17151;2.691265E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_267.jpg;0;0;0;0;99.66999;85.58897;0.0002302986;40.17151;2.754177E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_333.jpg;0;0;0;0;99.66999;85.58897;0.0002300825;40.17151;2.750025E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_400.jpg;0;0;0;0;99.66999;85.58897;0.0002300394;40.17151;2.683304E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_467.jpg;0;0;0;0;99.66999;85.58897;0.0002302211;40.17151;2.568187E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_533.jpg;0;0;0;0;99.66999;85.58897;0.0002303147;40.17151;2.396027E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_600.jpg;0;0;0;0;99.66999;85.58897;0.0002307818;40.17151;2.194144E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_667.jpg;0;0;0;0;99.66999;85.58897;0.0002311521;40.17151;1.987765E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_734.jpg;0;0;0;0;99.66999;85.58897;0.0002315829;40.17151;1.743013E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_801.jpg;0;0;0;0;99.66999;85.58897;0.0002317252;40.17151;1.408373E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_867.jpg;0;0;0;0;99.66999;85.58897;0.0002320523;40.17151;1.135272E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_06_934.jpg;0;0;0;0;99.66999;85.58897;0.0002323414;40.17151;8.957028E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_001.jpg;0;0;0;0;99.66999;85.58897;0.0002331456;40.17151;6.212265E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_068.jpg;0;0;0;0;99.66999;85.58897;0.0002337994;40.17151;4.0448E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_134.jpg;0;0;0;0;99.66999;85.58897;0.0002344531;40.17151;1.877342E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_201.jpg;0;0;0;0;99.66999;85.58897;0.0002351606;40.17151;-9.12378E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_268.jpg;0;0;0;0;99.66999;85.58897;0.0002353217;40.17151;-2.779154E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_334.jpg;0;0;0;0;99.66999;85.58897;0.0002354153;40.17151;-4.500752E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_401.jpg;0;0;0;0;99.66999;85.58897;0.0002355695;40.17151;-6.606062E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_468.jpg;0;0;0;0;99.66999;85.58897;0.0002356319;40.17151;-7.753796E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_535.jpg;0;0;0;0;99.66999;85.58897;0.0002352984;40.17151;-8.55589E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_602.jpg;0;0.2007625;0;0;99.6703;85.58925;0.009339873;40.21368;-1.865253E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_668.jpg;0;0.4000096;0;0.01554511;99.67149;85.59024;0.04152115;40.05371;0.0001145574
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_735.jpg;0;0.6022274;0;0.04905277;99.67492;85.59313;0.1353556;40.01034;0.000196842
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_802.jpg;0;0.802286;0;0.08252002;99.68254;85.59952;0.3304045;39.93066;0.0005921685
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_868.jpg;0;1;0;0.1140886;99.69131;85.60678;0.5295188;39.73316;0.0001902662
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_07_935.jpg;0;1;0;0.1765977;99.70293;85.61645;0.7640082;39.81232;-0.0004707913
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_002.jpg;0;1;0;0.2292049;99.72205;85.63226;1.094615;39.66911;0.0007303232
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_068.jpg;0;1;0;0.2847511;99.73826;85.64563;1.298114;39.6953;-0.002202501
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_135.jpg;0;1;0;0.3413509;99.75417;85.65865;1.266635;39.7389;-0.003270218
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_203.jpg;0;1;0;0.4082653;99.7786;85.67876;1.120467;39.79828;0.0001637958
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_269.jpg;0;1;0;0.465342;99.80051;85.69687;1.085295;39.91362;-0.0009569051
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_335.jpg;0;1;0;0.5300182;99.82495;85.71721;1.097593;40.00426;-0.0002005402
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_402.jpg;0;1;0;0.5763527;99.86211;85.74814;1.187131;39.93813;-0.0001349252
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_469.jpg;0;1;0;0.6179622;99.89222;85.77311;1.238353;39.93624;-0.001697752
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_536.jpg;0;1;0;0.697242;99.92361;85.79929;1.23241;40.00521;-0.001116461
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_603.jpg;0;1;0;0.7361731;99.96964;85.83768;1.218908;40.13875;-0.001372431
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_669.jpg;0;1;0;0.7875108;100.0066;85.86852;1.198031;40.15314;-0.001329296
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_736.jpg;0;1;0;0.8515123;100.0461;85.90157;1.203339;40.14981;-0.0004061123
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_802.jpg;0;1;0;0.9072711;100.1024;85.94871;1.210134;40.19789;-0.001554215
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_870.jpg;0;1;0;0.9638408;100.1475;85.98649;1.217797;40.20346;-0.0008258924
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_08_936.jpg;0;1;0;1.027574;100.1945;86.02593;1.214165;40.19681;-0.0007941877
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_003.jpg;0;1;0;1.071829;100.2609;86.08157;1.222465;40.20303;-0.0007653688
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_070.jpg;0;1;0;1.12064;100.3131;86.12535;1.221427;40.19516;-0.0007860238
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_136.jpg;0;1;0;1.179529;100.3674;86.17086;1.224491;40.16528;-0.0007195753
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_203.jpg;0;1;0;1.223641;100.4431;86.23433;1.231706;40.12846;-0.0006805081
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_270.jpg;0;1;0;1.272785;100.5025;86.28403;1.23495;40.10502;-0.0006875008
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_336.jpg;0;1;0;1.335982;100.5641;86.33553;1.238945;40.08135;-0.0007633453
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_403.jpg;0;1;0;1.383388;100.6497;86.40699;1.242879;40.05725;-0.0008841305
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_470.jpg;0;1;0;1.430768;100.7164;86.46266;1.245116;40.04221;-0.0009131131
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_537.jpg;0;1;0;1.493717;100.7854;86.52014;1.248994;40.03025;-0.0009588021
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_603.jpg;0;1;0;1.540508;100.8807;86.59956;1.255212;40.01359;-0.0009829293
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_670.jpg;0;1;0;1.587778;100.9546;86.66116;1.258231;40.00333;-0.0009943524
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_737.jpg;0;1;0;1.649425;101.0308;86.72456;1.264053;39.99125;-0.001009887
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_804.jpg;0;1;0;1.694804;101.1357;86.81181;1.270631;39.97684;-0.001045223
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_870.jpg;0;1;0;1.741524;101.2168;86.87926;1.27431;39.96484;-0.001036257
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_09_937.jpg;0;1;0;1.801725;101.3001;86.94849;1.279937;39.95388;-0.001063587
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_004.jpg;0;1;0;1.848066;101.4143;87.04343;1.283596;39.94024;-0.001096734
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_071.jpg;0;1;0;1.893403;101.5025;87.11666;1.288086;39.9292;-0.00111451
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_137.jpg;0;1;0;1.95354;101.5928;87.1916;1.292184;39.9181;-0.001127641
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_204.jpg;0;1;0;1.99854;101.7164;87.29417;1.296299;39.90227;-0.001121879
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_271.jpg;0;1;0;2.043384;101.8116;87.37309;1.300602;39.89194;-0.001173174
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_337.jpg;0;1;0;2.102864;101.9088;87.45371;1.306296;39.87945;-0.001180435
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_404.jpg;0;1;0;2.147388;102.0417;87.56378;1.310075;39.86458;-0.001203602
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_471.jpg;0;1;0;2.190951;102.1437;87.64825;1.310041;39.85341;-0.001202534
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_537.jpg;0;1;0;2.250309;102.2478;87.73447;1.316509;39.84187;-0.001229438
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_605.jpg;0;1;0;2.294358;102.3898;87.85193;1.318647;39.82667;-0.001244758
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_671.jpg;0;1;0;2.337965;102.4987;87.94199;1.325587;39.81533;-0.001272303
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_738.jpg;0;1;0;2.396214;102.6095;88.03363;1.324881;39.80402;-0.001265578
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_805.jpg;0;1;0;2.439494;102.7606;88.15842;1.329989;39.78839;-0.001304491
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_871.jpg;0;1;0;2.482642;102.8762;88.25394;1.336237;39.77715;-0.001328566
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_10_938.jpg;0;1;0;2.539499;102.9938;88.351;1.33582;39.76628;-0.001315703
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_005.jpg;0;1;0;2.58311;103.1537;88.48293;1.334827;39.74964;-0.00131725
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_071.jpg;0;1;0;2.625754;103.276;88.58379;1.336942;39.73754;-0.001328407
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_138.jpg;0;1;0;2.682386;103.4003;88.68625;1.340916;39.72533;-0.001342553
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_205.jpg;0;1;0;2.72471;103.5692;88.82535;1.347417;39.70909;-0.001377037
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_272.jpg;0;1;0;2.766914;103.6981;88.93153;1.351857;39.697;-0.001405649
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_338.jpg;0;1;0;2.822991;103.829;89.03925;1.355073;39.68498;-0.001416326
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_406.jpg;0;1;0;2.86489;104.0066;89.18531;1.356964;39.66882;-0.001425401
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_11_472.jpg;0;1;0;2.92099;104.1421;89.29674;1.363881;39.65612;-0.001333812
